input,proxyIP,portRemote,success,colo,responseTime,message,timestamp,error,raw
219.76.13.167:443,,,,,,,,,
219.76.13.183:443,,,,,,,,,
219.76.13.169:443,,,,,,,,,
219.76.13.177:443,,,,,,,,,
156.230.12.71_1:443,,,,,,,,,
43.155.117.16:443,,,,,,,,,
38.244.198.107_1:443,,,,,,,,,
219.76.13.166:443,,,,,,,,,
219.76.13.180:443,,,,,,,,,
185.241.40.85:443,,,,,,,,,
23.27.48.196:443,,,,,,,,,
210.3.159.133:443,,,,,,,,,
154.16.10.177:443,154.16.10.177,443,True,LAX,303,第1次验证有效ProxyIP,2025-10-27T06:44:44.878Z,,"{'success': True, 'proxyIP': '154.16.10.177', 'portRemote': 443, 'colo': 'LAX', 'responseTime': 303, 'message': '第1次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:44.878Z'}"
101.79.165.113:443,,,,,,,,,
154.38.116.8:443,,,,,,,,,
163.53.246.130:443,,,,,,,,,
119.28.68.147:443,,,,,,,,,
103.49.61.252:443,,,,,,,,,
46.232.108.217:443,,,,,,,,,
141.11.149.187:443,,,,,,,,,
20.255.49.160:443,,,,,,,,,
8.210.29.68:443,,,,,,,,,
47.79.20.64:443,47.79.20.64,443,True,MIA,480,第1次验证有效ProxyIP,2025-10-27T06:44:45.268Z,,"{'success': True, 'proxyIP': '47.79.20.64', 'portRemote': 443, 'colo': 'MIA', 'responseTime': 480, 'message': '第1次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:45.268Z'}"
47.240.15.210:443,,,,,,,,,
103.194.107.166:443,,,,,,,,,
103.210.22.199:443,,,,,,,,,
154.21.201.83:443,,,,,,,,,
202.85.53.74:443,202.85.53.74,443,True,MIA,450,第1次验证有效ProxyIP,2025-10-27T06:44:45.200Z,,"{'success': True, 'proxyIP': '202.85.53.74', 'portRemote': 443, 'colo': 'MIA', 'responseTime': 450, 'message': '第1次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:45.200Z'}"
47.243.166.181:443,,,,,,,,,
151.242.153.8:443,,,,,,,,,
151.242.153.9:443,,,,,,,,,
162.245.221.157:443,,,,,,,,,
38.244.198.117_1:443,-1,-1,False,IAD,-1,Stream was cancelled.,2025-10-27T06:44:44.203Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'IAD', 'responseTime': -1, 'message': 'Stream was cancelled.', 'timestamp': '2025-10-27T06:44:44.203Z'}"
38.55.198.92:443,,,,,,,,,
49.0.233.29:443,49.0.233.29,443,True,LAX,317,第1次验证有效ProxyIP,2025-10-27T06:44:44.873Z,,"{'success': True, 'proxyIP': '49.0.233.29', 'portRemote': 443, 'colo': 'LAX', 'responseTime': 317, 'message': '第1次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:44.873Z'}"
45.207.223.167:443,45.207.223.167,443,True,IAD,435,第1次验证有效ProxyIP,2025-10-27T06:44:45.138Z,,"{'success': True, 'proxyIP': '45.207.223.167', 'portRemote': 443, 'colo': 'IAD', 'responseTime': 435, 'message': '第1次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:45.138Z'}"
47.239.8.172:443,,,,,,,,,
43.198.204.35:443,,,,,,,,,
47.57.13.107_1:443,,,,,,,,,
16.162.225.15:443,,,,,,,,,
46.232.108.52:443,-1,-1,False,IAD,-1,Cannot call releaseLock() on a reader with outstanding read promises.,2025-10-27T06:44:49.191Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'IAD', 'responseTime': -1, 'message': 'Cannot call releaseLock() on a reader with outstanding read promises.', 'timestamp': '2025-10-27T06:44:49.191Z'}"
47.82.92.52:443,,,,,,,,,
46.20.109.64:443,,,,,,,,,
8.212.27.131:443,,,,,,,,,
58.176.95.46:443,,,,,,,,,
158.101.140.206:443,,,,,,,,,
213.210.4.49:443,,,,,,,,,
149.104.120.254:443,149.104.120.254,443,False,IAD,-1,无法通过ProxyIP访问Cloudflare,2025-10-27T06:44:44.614Z,,"{'success': False, 'proxyIP': '149.104.120.254', 'portRemote': 443, 'colo': 'IAD', 'responseTime': -1, 'message': '无法通过ProxyIP访问Cloudflare', 'timestamp': '2025-10-27T06:44:44.614Z'}"
122.117.174.80:443,,,,,,,,,
188.253.117.154:443,,,,,,,,,
123.253.111.136:443,,,,,,,,,
120.204.51.3:443,,,,,,,,,
119.23.252.183:443,,,,,,,,,
47.115.163.130:443,,,,,,,,,
47.92.161.8:443,,,,,,,,,
47.112.125.103:443,,,,,,,,,
36.133.126.13:443,,,,,,,,,
39.98.224.123:443,,,,,,,,,
120.24.251.97:443,,,,,,,,,
121.199.63.104:443,121.199.63.104,443,False,IAD,-1,无法通过ProxyIP访问Cloudflare,2025-10-27T06:44:44.631Z,,"{'success': False, 'proxyIP': '121.199.63.104', 'portRemote': 443, 'colo': 'IAD', 'responseTime': -1, 'message': '无法通过ProxyIP访问Cloudflare', 'timestamp': '2025-10-27T06:44:44.631Z'}"
58.247.200.18:443,,,,,,,,,
47.108.215.235:443,,,,,,,,,
47.92.245.88:443,,,,,,,,,
141.147.185.15:443,,,,,,,,,
172.104.127.132_1:443,,,,,,,,,
18.183.158.211_1:443,,,,,,,,,
3.112.21.102_1:443,,,,,,,,,
64.110.104.30_1:443,,,,,,,,,
141.147.185.63:443,141.147.185.63,443,True,IAD,363,第1次验证有效ProxyIP,2025-10-27T06:44:44.959Z,,"{'success': True, 'proxyIP': '141.147.185.63', 'portRemote': 443, 'colo': 'IAD', 'responseTime': 363, 'message': '第1次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:44.959Z'}"
141.147.147.180_1:443,,,,,,,,,
138.3.222.33_1:443,,,,,,,,,
217.142.236.93_1:443,,,,,,,,,
149.28.21.106_1:443,,,,,,,,,
45.76.198.248_1:443,,,,,,,,,
153.121.45.101:443,,,,,,,,,
108.160.141.198_1:443,,,,,,,,,
207.148.105.247:443,,,,,,,,,
45.32.55.253:443,,,,,,,,,
168.138.46.67_1:443,,,,,,,,,
23.106.132.54:443,,,,,,,,,
155.248.181.189_1:443,,,,,,,,,
141.147.168.141:443,-1,-1,False,IAD,-1,Stream was cancelled.,2025-10-27T06:44:44.404Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'IAD', 'responseTime': -1, 'message': 'Stream was cancelled.', 'timestamp': '2025-10-27T06:44:44.404Z'}"
210.138.37.53:443,,,,,,,,,
138.2.16.61:443,-1,-1,False,IAD,-1,Cannot call releaseLock() on a reader with outstanding read promises.,2025-10-27T06:44:49.355Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'IAD', 'responseTime': -1, 'message': 'Cannot call releaseLock() on a reader with outstanding read promises.', 'timestamp': '2025-10-27T06:44:49.355Z'}"
35.189.137.210:443,,,,,,,,,
35.78.229.176:443,,,,,,,,,
47.79.35.191_1:443,,,,,,,,,
103.106.0.123_1:443,,,,,,,,,
140.238.50.134:443,,,,,,,,,
108.61.126.17_1:443,,,,,,,,,
109.123.231.212:443,,,,,,,,,
210.231.178.90:443,,,,,,,,,
38.207.137.217:443,,,,,,,,,
43.153.179.6:443,43.153.179.6,443,False,MIA,-1,无法通过ProxyIP访问Cloudflare,2025-10-27T06:44:44.525Z,,"{'success': False, 'proxyIP': '43.153.179.6', 'portRemote': 443, 'colo': 'MIA', 'responseTime': -1, 'message': '无法通过ProxyIP访问Cloudflare', 'timestamp': '2025-10-27T06:44:44.525Z'}"
154.31.114.136:443,,,,,,,,,
18.177.83.181_1:443,,,,,,,,,
43.165.183.43:443,,,,,,,,,
124.156.238.155:443,,,,,,,,,
168.138.212.80:443,,,,,,,,,
139.162.108.5_1:443,,,,,,,,,
141.147.159.250:443,,,,,,,,,
47.79.38.17:443,,,,,,,,,
138.2.39.24:443,,,,,,,,,
138.2.5.136:443,,,,,,,,,
138.2.61.180:443,,,,,,,,,
147.79.20.47:443,,,,,,,,,
167.179.96.121_1:443,,,,,,,,,
47.79.43.222:443,,,,,,,,,
172.104.116.214_1:443,,,,,,,,,
172.104.116.38_1:443,,,,,,,,,
172.105.199.137_1:443,,,,,,,,,
172.105.199.91_1:443,,,,,,,,,
172.105.226.139_1:443,,,,,,,,,
43.153.155.49:443,,,,,,,,,
193.123.161.116:443,,,,,,,,,
45.32.252.168_1:443,,,,,,,,,
202.55.27.166:443,,,,,,,,,
